Date,Team,Opponent,GoalsFor,GoalsAgainst,EloPre,EloPost,ExpWinProb,IsHome
2013-02-10,Man United,Everton,2.0,0.0,1827.8417790838803,1831.7806198163958,0.8030579633742281,1
2013-02-23,Man United,QPR,2.0,0.0,1831.7806198163958,1834.4368291675007,0.8671895324447523,0
2013-03-02,Man United,Norwich,4.0,0.0,1834.4368291675007,1836.5492725040751,0.8943778331712842,1
2013-03-16,Man United,Reading,1.0,0.0,1836.5492725040751,1837.9484943883238,0.9300389057875706,1
2013-03-30,Man United,Sunderland,1.0,0.0,1837.9484943883238,1841.2693637978257,0.8339565295249008,0
2013-04-08,Man United,Man City,1.0,2.0,1841.2693637978257,1827.0981471517769,0.7085608323024462,1
2013-04-14,Man United,Stoke,2.0,0.0,1827.0981471517769,1830.6470006559598,0.8225573247908521,0
2013-04-17,Man United,West Ham,2.0,2.0,1830.6470006559598,1824.0840312202636,0.8281484717848109,0
2013-04-22,Man United,Aston Villa,3.0,0.0,1824.0840312202636,1826.153824155879,0.8965103532192246,1
2013-04-28,Man United,Arsenal,1.0,1.0,1826.153824155879,1824.1442280435538,0.6004798056162556,0
2013-05-05,Man United,Chelsea,0.0,1.0,1824.1442280435538,1808.9314286775311,0.7606399683011292,1
2013-05-12,Man United,Swansea,2.0,1.0,1808.9314286775311,1811.6200324844817,0.865569809652468,1
2013-05-19,Man United,West Brom,5.0,5.0,1811.6200324844817,1805.7460920137316,0.7936970235375073,0
2013-08-17,Man United,Swansea,4.0,1.0,1805.7460920137316,1810.2342072920499,0.7755942360840892,0
2013-08-26,Man United,Chelsea,0.0,0.0,1810.2342072920499,1806.0855728536371,0.7074317219206347,1
2013-09-01,Man United,Liverpool,0.0,1.0,1806.0855728536371,1793.1936059433592,0.6445983455138906,0
2013-09-14,Man United,Crystal Palace,2.0,0.0,1793.1936059433592,1794.624990950641,0.9284307496359118,1
